team1,team2,venue,winner,date,team_matches,team1_win,team2_win,team1_venue_matches,team1_venue_win,team2_venue_matches,team2_venue_win
Australia,Sri Lanka,Sri Lanka,Australia,2022-06-24,30,15,13,16,8,91,44
India,England,England,India,2022-07-12,33,17,13,29,18,98,60
India,England,England,England,2022-07-14,34,18,13,30,19,99,60
India,England,England,India,2022-07-17,35,18,14,31,19,100,61
South Africa,England,England,South Africa,2022-07-19,20,8,10,24,9,101,61
South Africa,England,England,England,2022-07-22,21,9,10,25,10,102,61
South Africa,England,England,no result,2022-07-24,22,9,11,26,10,103,622
Pakistan,Netherlands,Netherlands,Pakistan,2022-08-16,0,0,0,0,0,5,2
Pakistan,Netherlands,Netherlands,Pakistan,2022-08-18,1,1,0,1,1,6,2
Pakistan,Netherlands,Netherlands,Pakistan,2022-08-21,2,2,0,2,2,7,2
Australia,New Zealand,Australia,Australia,2022-09-06,15,8,5,74,51,5,0
Australia,New Zealand,Australia,Australia,2022-09-08,16,9,5,75,52,6,0
Australia,New Zealand,Australia,Australia,2022-09-11,17,10,5,76,53,7,0
India,South Africa,India,South Africa,2022-10-06,27,13,13,78,52,10,7
India,South Africa,India,India,2022-10-09,28,13,14,79,52,11,8
India,South Africa,India,India,2022-10-11,29,14,14,80,53,12,8
Australia,England,Australia,Australia,2022-11-17,46,23,22,77,51,25,9
Australia,England,Australia,Australia,2022-11-19,47,24,22,78,52,26,9
Australia,England,Australia,Australia,2022-11-22,48,25,22,79,53,27,9
India,New Zealand,New Zealand,New Zealand,2022-11-25,21,9,11,13,4,90,61
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,2022-11-25,4,1,3,0,0,92,44
India,New Zealand,New Zealand,no result,2022-11-27,22,9,12,14,4,91,62
Afghanistan,Sri Lanka,Sri Lanka,no result,2022-11-27,5,2,3,1,1,93,62
India,New Zealand,New Zealand,no result,2022-11-30,23,9,12,15,4,92,62
Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,2022-11-30,6,2,3,2,1,94,62
India,Bangladesh,Bangladesh,Bangladesh,2022-12-04,14,10,3,14,8,61,29
India,Bangladesh,Bangladesh,Bangladesh,2022-12-07,15,10,4,15,8,62,3
India,Bangladesh,Bangladesh,India,2022-12-10,16,10,5,16,8,63,4
New Zealand,Pakistan,Pakistan,Pakistan,2023-01-09,25,16,7,0,0,5,4
India,Sri Lanka,India,India,2023-01-10,34,26,7,81,54,10,2
New Zealand,Pakistan,Pakistan,New Zealand,2023-01-11,26,16,8,1,0,6,5
India,Sri Lanka,India,India,2023-01-12,35,27,7,82,55,11,2
New Zealand,Pakistan,Pakistan,New Zealand,2023-01-13,27,17,8,2,1,7,5
India,Sri Lanka,India,India,2023-01-15,36,28,7,83,56,12,2
India,New Zealand,India,India,2023-01-18,24,9,12,84,57,13,6
India,New Zealand,India,India,2023-01-21,25,10,12,85,58,14,6
India,New Zealand,India,India,2023-01-24,26,11,12,86,59,15,6
South Africa,England,South Africa,South Africa,2023-01-27,23,9,11,84,54,8,3
South Africa,England,South Africa,South Africa,2023-01-29,24,10,11,85,55,9,3
South Africa,England,South Africa,England,2023-02-01,25,11,11,86,56,10,3
Bangladesh,England,Bangladesh,England,2023-03-01,7,3,4,64,31,4,2
Bangladesh,England,Bangladesh,England,2023-03-03,8,3,5,65,31,5,3
Bangladesh,England,Bangladesh,Bangladesh,2023-03-06,9,3,6,66,31,6,4
India,Australia,India,India,2023-03-17,39,18,19,87,60,24,11
India,Australia,India,Australia,2023-03-19,40,19,19,88,61,25,11
India,Australia,India,Australia,2023-03-22,41,19,20,89,61,26,12
South Africa,Netherlands,South Africa,South Africa,2023-03-31,1,1,0,87,56,1,0
South Africa,Netherlands,South Africa,South Africa,2023-04-02,2,2,0,88,57,2,0
New Zealand,Pakistan,Pakistan,Pakistan,2023-04-27,28,18,8,3,2,8,5
New Zealand,Pakistan,Pakistan,Pakistan,2023-04-29,29,18,9,4,2,9,6
New Zealand,Pakistan,Pakistan,Pakistan,2023-05-03,30,18,10,5,2,10,7
New Zealand,Pakistan,Pakistan,Pakistan,2023-05-05,31,18,11,6,2,11,8
New Zealand,Pakistan,Pakistan,New Zealand,2023-05-07,32,18,12,7,2,12,9
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,2023-06-02,7,2,4,3,1,95,45
Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,2023-06-04,8,3,4,4,2,96,45
Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,2023-06-07,9,3,5,5,2,97,46
Sri Lanka,Netherlands,Zimbabwe,Sri Lanka,2023-06-30,0,0,0,0,0,0,0
Afghanistan,Bangladesh,Bangladesh,Afghanistan,2023-07-05,11,4,7,4,1,67,32
Afghanistan,Bangladesh,Bangladesh,Afghanistan,2023-07-08,12,5,7,5,2,68,32
Sri Lanka,Netherlands,Zimbabwe,Sri Lanka,2023-07-09,1,1,0,1,1,1,0
Afghanistan,Bangladesh,Bangladesh,Bangladesh,2023-07-11,13,6,7,6,3,69,32
Pakistan,Afghanistan,Sri Lanka,Pakistan,2023-08-22,4,4,0,19,10,6,2
Pakistan,Afghanistan,Sri Lanka,Pakistan,2023-08-24,5,5,0,20,11,7,2
Pakistan,Afghanistan,Sri Lanka,Pakistan,2023-08-26,6,6,0,21,12,8,2
Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,2023-08-31,22,13,7,98,47,9,2
India,Pakistan,Sri Lanka,no result,2023-09-02,13,9,4,13,11,22,13
Afghanistan,Bangladesh,Pakistan,Bangladesh,2023-09-03,14,7,7,0,0,0,0
Afghanistan,Sri Lanka,Pakistan,Sri Lanka,2023-09-05,10,3,6,1,0,2,0
Pakistan,Bangladesh,Pakistan,Pakistan,2023-09-06,11,7,4,13,9,1,1
South Africa,Australia,South Africa,Australia,2023-09-07,41,28,11,89,58,19,2
South Africa,Australia,South Africa,Australia,2023-09-07,42,28,12,90,58,20,3
New Zealand,England,England,New Zealand,2023-09-08,21,8,12,22,10,104,62
South Africa,Australia,South Africa,Australia,2023-09-09,43,28,13,91,58,21,4
South Africa,Australia,South Africa,Australia,2023-09-09,44,28,14,92,58,22,5
Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,2023-09-09,23,14,7,99,48,10,2
New Zealand,England,England,England,2023-09-10,22,9,12,23,11,105,62
India,Sri Lanka,Sri Lanka,India,2023-09-12,37,29,7,100,49,14,11
South Africa,Australia,South Africa,South Africa,2023-09-12,45,28,15,93,58,23,6
South Africa,Australia,South Africa,South Africa,2023-09-12,46,29,15,94,59,24,6
New Zealand,England,England,England,2023-09-13,23,9,13,24,11,106,63
Pakistan,Sri Lanka,Sri Lanka,Sri Lanka,2023-09-14,35,22,12,23,13,101,49
India,Bangladesh,Sri Lanka,Bangladesh,2023-09-15,17,11,5,15,12,11,2
South Africa,Australia,South Africa,South Africa,2023-09-15,47,30,15,95,60,25,6
South Africa,Australia,South Africa,South Africa,2023-09-15,48,31,15,96,61,26,6
New Zealand,England,England,England,2023-09-15,24,9,14,25,11,108,64
India,Sri Lanka,Sri Lanka,India,2023-09-17,38,30,7,16,12,102,50
South Africa,Australia,South Africa,South Africa,2023-09-17,49,32,15,97,62,27,6
South Africa,Australia,South Africa,South Africa,2023-09-17,50,33,15,98,63,28,6
New Zealand,Bangladesh,Bangladesh,no result,2023-09-21,17,12,5,4,1,70,33
India,Australia,India,India,2023-09-22,42,19,21,90,61,27,13
New Zealand,Bangladesh,Bangladesh,New Zealand,2023-09-23,18,12,5,5,1,71,33
India,Australia,India,India,2023-09-24,43,20,21,91,62,28,13
New Zealand,Bangladesh,Bangladesh,New Zealand,2023-09-26,19,13,5,6,2,72,33
India,Australia,India,Australia,2023-09-27,44,21,21,92,63,29,13
