team,venue,played,won
India,India,93,63
South Africa,India,13,8
Australia,India,30,14
New Zealand,India,16,6
Pakistan,India,4,2
Afghanistan,India,0,0
Sri Lanka,India,13,2
Bangladesh,India,0,0
Netherlands,India,5,0
England,India,21,7
